Nav_Date,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037
01-04-2020,159.72,25.08,149.313,332.449,159.455,30.57,177.055,92.23,191.29,32.07,43.501,38.257,96.46,28.949,74.499,20.056,23.88,38.897,25.822,14.993,17.62,51.889,291.36,9.24,163.795,78.52,7.461,224.64,92.489,41.155,520.37,10.01,31.631,441.639,61.194,26.08,112.979
03-04-2020,156.88,24.52,145.746,328.25,155.994,30.02,172.274,90.123,187.64,31.75,42.547,37.481,94.81,28.33,73.638,19.75,23.34,38.349,25.417,14.86,17.31,50.802,285.42,9.08,160.084,77.318,7.315,221.1,90.177,40.825,510.9,9.8,31.015,436.127,59.692,25.477,110.601
07-04-2020,168.99,26.21,159.156,350.654,169.678,32.54,185.959,97.3,195.69,33.16,44.738,38.884,98.96,29.51,77.332,20.39,23.97,39.707,26.173,15.332,17.68,52.578,304.87,9.54,171.405,82.321,7.848,236.62,95.799,43.181,552.3,10.46,33.107,464.773,64.792,27.432,117.495
08-04-2020,169.64,26.19,158.849,349.497,169.073,32.55,185.405,97.347,199.84,33.89,45.675,39.526,100.86,29.981,78.223,20.811,24.56,40.524,26.443,15.588,17.85,53.191,305.53,9.65,173.178,82.643,7.909,239.73,96.219,43.826,554.92,10.48,33.21,463.483,65.094,27.431,118.483
09-04-2020,176.71,27.11,165.733,362.629,175.705,33.93,192.356,101.721,204.83,34.75,47.044,40.847,103.88,30.879,80.856,21.561,25.41,41.315,27.226,16,18.32,54.392,318.12,9.95,179.754,85.256,8.197,248.55,98.866,45.621,575.75,10.86,34.535,480.71,67.861,28.389,122.918
13-04-2020,174.78,26.65,163.726,360.458,173.186,33.67,190.446,100.744,201.97,34.16,46.586,40.458,103.08,30.606,79.752,21.46,25.28,41.115,27.063,16.009,18.1,53.821,313.84,9.79,177.956,84.637,8.056,246.65,98.72,45.446,571.67,10.64,34.02,481.524,66.536,28.188,120.628
15-04-2020,174.49,26.43,162.483,359.273,172.779,33.5,189.443,100.244,205.22,34.21,47.112,41.163,104.55,31.228,80.556,21.675,25.5,41.508,27.56,16.176,18.32,54.685,314.51,9.92,178.4,85.517,8.06,246.93,99.451,45.81,570.68,10.55,33.891,481.113,66.538,28.061,120.97
16-04-2020,176.36,26.5,164.224,365.291,174.53,33.8,191.577,101.271,207.92,34.49,47.688,41.715,106.05,31.762,81.802,22.135,25.81,41.771,28.038,16.354,18.56,55.48,319.69,9.92,180.055,87.087,8.149,250.55,101.031,46.47,577.63,10.57,34.234,490.724,67.202,28.414,121.713
17-04-2020,181.22,27,170.111,376.212,178.434,34.88,197.222,104.098,211.56,35,48.561,42.777,107.86,32.257,83.193,22.829,26.67,42.892,28.797,16.785,19.26,57.066,329.12,10.16,185.063,89.167,8.335,257.05,103.277,47.723,594.5,10.77,35.169,506.124,68.866,29.152,124.039
20-04-2020,180.85,27.01,169.759,374.959,178.508,34.74,197.104,103.867,211.91,34.86,48.538,42.811,108.29,32.424,83.839,22.958,26.86,43.228,28.97,16.863,19.52,57.562,328.34,10.17,184.717,89.385,8.32,257.05,103.313,47.668,593.59,10.76,35.034,503.239,68.866,29.109,124.63
